,Oferta od,Kategoria,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie Poza Miastem,Spalanie W Mieście,Typ nadwozia,Emisja CO2,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Data pierwszej rejestracji w historii pojazdu,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Stan,price,currency,Rok,Przebieg_add,Paliwo,Typ_nadwozia_add,Pierwszy właściciel (od nowości),Bezwypadkowy,Serwisowany w ASO,Kraj pochodzenia,Filtr cząstek stałych,VAT marża,Uszkodzony,Spalanie W Cyklu Mieszanym,VIN,Możliwość finansowania,Tuning,Leasing,Gwarancja dealerska (w cenie),Miesięczna rata,Zarejestrowany jako zabytek,lub do (przebieg km),Faktura VAT,Kierownica po prawej (Anglik),id
12,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,2.0T Vector,II (2003-2011),2007,348 000 km,1 998 cm3,Benzyna+LPG,175 KM,Automatyczna,Na przednie koła,6.7 l/100km,"12,90 l/100km",Sedan,216 g/km,4,5,Czarny,,,,Tak,Używane,10000,PLN,2007,348 000 km,Benzyna+LPG,Sedan,,,,Szwecja,,,,,,,,,,,,,,,412
13,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,S 2.2 TiD,II (2003-2011),2003,304 000 km,2 171 cm3,Diesel,125 KM,Manualna,Na przednie koła,5.0 l/100km,8 l/100km,Sedan,164 g/km,5,5,Czarny,,11/04/2003,WR949ET,Tak,Używane,4899,PLN,2003,304 000 km,Diesel,Sedan,,Tak,,Szwajcaria,,,,,,,,,,,,,,,413
14,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-5,Kombi 1.9 TiDPF Linear,,2007,217 000 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,,9 l/100km,Kombi,184 g/km,5,5,Szary,Metalik,20/08/2007,ZAREJESTORWANY W PL,Tak,Używane,13500,PLN,2007,217 000 km,Diesel,Kombi,,Tak,,,,Tak,,,,,,,,,,,,,414
15,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,2.0T Cabrio Aero,II (2003-2011),2008,170 000 km,1 998 cm3,Benzyna,210 KM,Automatyczna,Na przednie koła,6.9 l/100km,"13,40 l/100km",Kabriolet,214 g/km,2,4,Srebrny,Metalik,01/01/2008,WD9540K,Tak,Używane,45999,PLN,2008,170 000 km,Benzyna,Kabriolet,,,,Stany Zjednoczone,,,,,,,,,,,,,,,415
16,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.9 TiD DPF Vector,II (2003-2011),2008,253 798 km,1 910 cm3,Diesel,120 KM,Manualna,Na przednie koła,4.4 l/100km,"7,20 l/100km",Kombi,147 g/km,4,5,Niebieski,Metalik,30/09/2008,CT3855J,Tak,Używane,13800,PLN,2008,253 798 km,Diesel,Kombi,,,,Niemcy,Tak,,,,,,,,,,,,,,416
17,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3X,1.9TTiD PF,,2011,199 999 km,1 910 cm3,Diesel,180 KM,Manualna,Na przednie koła,,6 l/100km,Kombi,144 g/km,5,5,Biały,,15/05/2011,TTID_180,Tak,Używane,34500,PLN,2011,199 999 km,Diesel,Kombi,,Tak,Tak,Niemcy,,,,,,,,,,,,,,,417
18,Osoby prywatnej,Osobowe,Tak,,Saab,9-5,Kombi 2.0T Vector,,2006,232 000 km,1 985 cm3,Benzyna+LPG,150 KM,Manualna,,,12 l/100km,Kombi,,5,5,Beżowy,,,,Tak,Używane,11900,PLN,2006,232 000 km,Benzyna+LPG,Kombi,,,,Polska,,,,,,,,,,,,,,,418
19,Osoby prywatnej,Osobowe,Tak,,Saab,9-5,Kombi 2.3 TS Aero,,2001,390 000 km,2 290 cm3,Benzyna+LPG,250 KM,Manualna,,,13 l/100km,Kombi,,5,5,Czarny,,,,,Używane,9000,PLN,2001,390 000 km,Benzyna+LPG,Kombi,,,,,,,Tak,,,,,,,,,,,,419
20,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.8t Linear BioPower,II (2003-2011),2007,261 404 km,1 998 cm3,Benzyna,150 KM,Manualna,Na przednie koła,8 l/100km,10 l/100km,Sedan,,5,,Srebrny,,,,Tak,Używane,18900,PLN,2007,261 404 km,Benzyna,Sedan,,,,Szwecja,Tak,,,9 l/100km,,,,,,,,,,,420
21,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9000,2.3-16 TCS Turbo,,1990,339 000 km,2 290 cm3,Benzyna,200 KM,Manualna,Na przednie koła,,,Coupe,,5,5,Niebieski,,18/10/1990,DKL 68439,Tak,Używane,8999,PLN,1990,339 000 km,Benzyna,Coupe,,,,Niemcy,,,,,,,,,,,,,,,421
22,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,2.0T Linear,II (2003-2011),2003,246 000 km,1 998 cm3,Benzyna,175 KM,Manualna,,,12 l/100km,Sedan,,2,5,Czerwony,,,,,Używane,10500,PLN,2003,246 000 km,Benzyna,Sedan,,,,,,,,,YS3FB45SX31040731,,,,,,,,,,422
23,Firmy,Osobowe,Tak,,Saab,900,Coupe 2.3 S,,1995,190 000 km,2 290 cm3,Benzyna,150 KM,Manualna,,,13 l/100km,Coupe,,3,,Czarny,,,,Tak,Używane,7900,PLN,1995,190 000 km,Benzyna,Coupe,,,,Niemcy,,,,,,,,,,,,,,,423
24,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-5,2.0 TTiD PF Aero,,2010,199 247 km,1 956 cm3,Diesel,190 KM,Manualna,Na przednie koła,4.0 l/100km,8 l/100km,Sedan,159 g/km,4,5,Czarny,,01/02/2011,Fza 56467,Tak,Używane,45000,PLN,2010,199 247 km,Diesel,Sedan,,,,,,,,,,,,,,,,,,,424
25,Firmy,Osobowe,Tak,,Saab,9-5,Kombi 1.9 TiD Linear Griffin Edition,,2006,319 000 km,1 910 cm3,Diesel,150 KM,Automatyczna,,,"10,40 l/100km",Kombi,,5,5,Czarny,,,,,Używane,7900,PLN,2006,319 000 km,Diesel,Kombi,,,,,,Tak,,,,,,,,,,,,,425
26,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,I (1998-2002),2000,267 000 km,1 985 cm3,Benzyna,205 KM,Manualna,Na przednie koła,7.0 l/100km,13 l/100km,Kompakt,,5,5,Niebieski,Metalik,27/02/2001,EL 521XT,Tak,Używane,10000,PLN,2000,267 000 km,Benzyna,Kompakt,,Tak,,Szwecja,,,,,,,,,,,,,,,426
27,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,2.0LPT,I (1998-2002),2001,250 000 km,1 985 cm3,Benzyna,150 KM,Manualna,Na przednie koła,6.0 l/100km,12 l/100km,Kabriolet,201 g/km,2,4,Czarny,Perłowy,07/07/2000,Wd7257k,Tak,Używane,12500,PLN,2001,250 000 km,Benzyna,Kabriolet,,Tak,,Niemcy,,,,,,,,,,,,,,,427
28,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.9TTiD PF Vector,II (2003-2011),2008,232 000 km,1 910 cm3,Diesel,180 KM,Manualna,,,8 l/100km,Kombi,,5,,Czarny,,,,,Używane,20000,PLN,2008,232 000 km,Diesel,Kombi,,,,,,,,,YS3FF56P981120209,,,,,,,,,,428
29,Osoby prywatnej,Osobowe,Tak,,Saab,900,,,1989,270 000 km,1 985 cm3,Benzyna,175 KM,Manualna,,,,Coupe,,2,5,Niebieski,,,,,Używane,13500,PLN,1989,270 000 km,Benzyna,Coupe,,,,,,,,,,,,,,,,,,,429
30,Firmy,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2007,369 000 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,,,Kombi,,5,5,Inny kolor,Metalik,30/11/2007,DW 9SF36,Tak,Używane,8400,PLN,2007,369 000 km,Diesel,Kombi,,,,,,Tak,,,,,,,,,,,,,430
