,Oferta od,Kategoria,Pokaż oferty z numerem VIN,Ma numer rejestracyjny,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie Poza Miastem,Spalanie W Mieście,Typ nadwozia,Emisja CO2,Liczba drzwi,Liczba miejsc,Kolor,Rodzaj koloru,Data pierwszej rejestracji w historii pojazdu,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Stan,price,currency,Rok,Przebieg_add,Paliwo,Typ_nadwozia_add,Pierwszy właściciel (od nowości),Bezwypadkowy,Serwisowany w ASO,Kraj pochodzenia,Filtr cząstek stałych,VAT marża,Uszkodzony,Spalanie W Cyklu Mieszanym,VIN,Możliwość finansowania,Tuning,Leasing,Gwarancja dealerska (w cenie),Miesięczna rata,Zarejestrowany jako zabytek,lub do (przebieg km),Faktura VAT,Kierownica po prawej (Anglik),id
61,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-5,,,2005,190 000 km,2 962 cm3,Diesel,176 KM,Manualna,Na przednie koła,,10 l/100km,Sedan,,5,5,Beżowy,Metalik,24/09/2021,SBE7584F,Tak,Używane,12000,PLN,2005,190 000 km,Diesel,Sedan,,Tak,,Francja,,,,,,,,,,,,,,,461
62,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.9 TiD DPF Vector,II (2003-2011),2007,315 000 km,1 910 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,5.0 l/100km,"9,40 l/100km",Sedan,177 g/km,4,5,Czarny,Metalik,17/03/2008,,,Używane,16900,PLN,2007,315 000 km,Diesel,Sedan,,Tak,Tak,,Tak,,,,,,,,,,,,,,462
63,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2005,272 769 km,1 998 cm3,Benzyna,150 KM,Manualna,Na przednie koła,,"5,30 l/100km",Sedan,,5,5,Beżowy,Perłowy,,,,Używane,14900,PLN,2005,272 769 km,Benzyna,Sedan,,,Tak,,Tak,,,,,,,,,,,,,,463
64,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,Aero 2.0 TS,I (1998-2002),2001,204 500 km,1 985 cm3,Benzyna,205 KM,Manualna,Na przednie koła,,13 l/100km,Kompakt,,3,,Niebieski,,,,Tak,Używane,62000,PLN,2001,204 500 km,Benzyna,Kompakt,,Tak,Tak,Szwecja,,,,,,,,,,,,,,,464
65,Firmy,Osobowe,Tak,Tak,Saab,9-5,2.0TiD Vector,,2011,242 000 km,1 956 cm3,Diesel,160 KM,Automatyczna,Na przednie koła,,"8,60 l/100km",Sedan,136 g/km,4,5,Czarny,Metalik,,XXXXXXXXXXXXXXXXXC,,Używane,36900,PLN,2011,242 000 km,Diesel,Sedan,,Tak,Tak,,Tak,Tak,,,,Tak,,,,,,,,,465
66,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.9 TiD Sport Kombi DPF Vector,II (2003-2011),2009,227 000 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,,"7,80 l/100km",Kombi,167 g/km,5,5,Błękitny,Metalik,,,,Używane,16900,PLN,2009,227 000 km,Diesel,Kombi,,Tak,Tak,,Tak,,,,,,,,,,,,,,466
67,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.9 TiD Sport Kombi DPF Vector,II (2003-2011),2007,336 000 km,1 910 cm3,Diesel,120 KM,Manualna,Na przednie koła,,"7,30 l/100km",Kombi,,5,5,Szary,Metalik,19/03/2007,WMA40249,,Używane,5900,PLN,2007,336 000 km,Diesel,Kombi,,,,Szwecja,Tak,Tak,,,,,,,,,,,,,467
68,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2003,271 110 km,1 998 cm3,Benzyna+LPG,175 KM,Manualna,,,,Sedan,,5,,Srebrny,,,,,Używane,10500,PLN,2003,271 110 km,Benzyna+LPG,Sedan,,,,,,,,,YS3FD45S831026773,,,,,,,,,,468
69,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-5,Kombi 2.0t Linear,,2005,204 000 km,1 985 cm3,Benzyna,150 KM,Manualna,Na przednie koła,,12 l/100km,Kombi,,5,5,Bordowy,,30/03/2005,SL0097H,Tak,Używane,6200,PLN,2005,204 000 km,Benzyna,Kombi,,,,Szwecja,,,,,,,,,,,,,,,469
70,Osoby prywatnej,Osobowe,Tak,,Saab,9-5,1.9 TiD Linear Griffin Edition,,2006,375 000 km,1 910 cm3,Diesel,149 KM,Manualna,,,,Kombi,,5,5,Srebrny,Metalik,,,,Używane,9600,PLN,2006,375 000 km,Diesel,Kombi,,,,,,,,,,,,,,,,,,,470
71,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2004,338 000 km,1 998 cm3,Benzyna+LPG,175 KM,Automatyczna,Na przednie koła,,,Sedan,,2,5,Srebrny,,24/05/2004,,Tak,Używane,16200,PLN,2004,338 000 km,Benzyna+LPG,Sedan,,,,,,,,,,,,,,,,,,,471
72,Firmy,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2006,209 000 km,2 792 cm3,Benzyna,250 KM,Automatyczna,Na przednie koła,,,Kabriolet,,4,4,Czarny,Metalik,05/07/2006,,Tak,Używane,59999,PLN,2006,209 000 km,Benzyna,Kabriolet,,Tak,Tak,Szwajcaria,,,,,,,,,,,,,,,472
73,Firmy,Osobowe,Tak,,Saab,9-3,1.9TTiD PF Aero,II (2003-2011),2008,247 000 km,1 910 cm3,Diesel,180 KM,Manualna,Na przednie koła,4.0 l/100km,6 l/100km,Sedan,129 g/km,4,5,Czarny,Metalik,03/06/2008,,Tak,Używane,19999,PLN,2008,247 000 km,Diesel,Sedan,Tak,Tak,,Polska,,Tak,,,,Tak,,,,,,,,,473
74,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.8t Linear Sport,II (2003-2011),2003,301 000 km,1 998 cm3,Benzyna,150 KM,Manualna,Na przednie koła,6.0 l/100km,11 l/100km,Sedan,206 g/km,2,5,Granatowy,Metalik,14/06/2003,WF1610T,Tak,Używane,8500,PLN,2003,301 000 km,Benzyna,Sedan,,Tak,,,,,,,,,,,,,,,,,474
75,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.9 TiD Sport Kombi DPF (Sportgetriebe) Vector,II (2003-2011),2007,262 000 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,,"7,80 l/100km",Kombi,,5,5,Niebieski,Metalik,01/02/2008,AK874WC,,Używane,17300,PLN,2007,262 000 km,Diesel,Kombi,,Tak,,,Tak,,,,,,,,,,,,,,475
76,Firmy,Osobowe,Tak,Tak,Saab,9-5,Kombi 1.9 TiD Vector Griffin Edition,,2006,499 999 km,1 910 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,,"10,40 l/100km",Kombi,,5,5,Złoty,Metalik,16/06/2006,GPU1VY2,Tak,Używane,7850,PLN,2006,499 999 km,Diesel,Kombi,,,,Niemcy,Tak,,,,,,,,,,,,,,476
77,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,S 2.2 TiD,II (2003-2011),2003,292 275 km,2 171 cm3,Diesel,125 KM,Manualna,,,8 l/100km,Sedan,,5,5,Czarny,,,,,Używane,6499,PLN,2003,292 275 km,Diesel,Sedan,,,,,,,,,,,,,,,,,,,477
78,Firmy,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2011,195 000 km,1 910 cm3,Diesel,160 KM,Manualna,Na przednie koła,,,Kombi,,5,5,Brązowy,Metalik,,,,Używane,31700,PLN,2011,195 000 km,Diesel,Kombi,Tak,Tak,Tak,Niemcy,,Tak,,,,Tak,,,,,,,,,478
79,Firmy,Osobowe,Tak,Tak,Saab,9-5,Kombi 2.3T Vector,,2002,286 000 km,2 290 cm3,Benzyna+LPG,185 KM,Manualna,Na przednie koła,,13 l/100km,Sedan,,5,5,Srebrny,Metalik,03/10/2002,WJ6064J,Tak,Używane,7900,PLN,2002,286 000 km,Benzyna+LPG,Sedan,,,,,,Tak,,,,,,,,,,,,,479
80,Osoby prywatnej,Osobowe,Tak,,Saab,900,,,1983,348 644 km,1 986 cm3,Benzyna,118 KM,Manualna,Na przednie koła,,,Coupe,,4,5,Srebrny,,06/04/1986,,,Używane,15000,PLN,1983,348 644 km,Benzyna,Coupe,,,,Niemcy,,,,,,,,,,,,,,,480
81,Osoby prywatnej,Osobowe,Tak,,Saab,9-5,Kombi S 2.3 LPT,,2000,310 000 km,2 290 cm3,Benzyna+LPG,185 KM,Manualna,Na przednie koła,7.0 l/100km,13 l/100km,Kombi,,5,5,Inny kolor,,,,,Używane,4999,PLN,2000,310 000 km,Benzyna+LPG,Kombi,,,,,,,,,,,,,,,,,,,481
82,Firmy,Osobowe,Tak,,Saab,9-3,SE 2.0 LPT,I (1998-2002),2001,297 000 km,1 985 cm3,Benzyna,150 KM,Manualna,Na przednie koła,6.0 l/100km,12 l/100km,Sedan,,5,5,Beżowy,Metalik,31/05/2002,,,Używane,14900,PLN,2001,297 000 km,Benzyna,Sedan,,Tak,Tak,Niemcy,,Tak,,,,Tak,,,1 miesięcy,,,,,,482
83,Firmy,Osobowe,Tak,Tak,Saab,9-5,,,2003,315 370 km,2 290 cm3,Benzyna,250 KM,Manualna,Na przednie koła,,,Kombi,,5,5,Czarny,,27/06/2003,WE 3Y708,Tak,Używane,5900,PLN,2003,315 370 km,Benzyna,Kombi,,,,,,Tak,,,,,,,,,,,,,483
84,Firmy,Osobowe,Tak,,Saab,9-5,2.0T Arc,,2002,295 000 km,1 985 cm3,Benzyna,150 KM,Manualna,Na przednie koła,8 l/100km,10 l/100km,Sedan,,4,5,Szary,Metalik,,,Tak,Używane,3999,PLN,2002,295 000 km,Benzyna,Sedan,,,Tak,Niemcy,,Tak,,9 l/100km,,,,,,,,,,,484
85,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.8t Linear Sport,II (2003-2011),2006,138 200 km,1 988 cm3,Benzyna,150 KM,Manualna,Na przednie koła,,11 l/100km,Sedan,,5,5,Beżowy,Metalik,,,,Używane,17990,PLN,2006,138 200 km,Benzyna,Sedan,,Tak,Tak,,,,,,,,,,,,,,,,485
86,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.9 Cabriolet TiD DPF Vector,II (2003-2011),2010,140 000 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,,"8,40 l/100km",Kabriolet,5 g/km,2,4,Inny kolor,Metalik,,,,Używane,38900,PLN,2010,140 000 km,Diesel,Kabriolet,,Tak,Tak,Belgia,Tak,,,,,,,,,,,,,,486
87,Firmy,Osobowe,Tak,,Saab,9-5,2.0 TiD PF Linear,,2010,265 000 km,1 956 cm3,Diesel,160 KM,Manualna,Na przednie koła,,6 l/100km,Sedan,,4,5,Srebrny,Metalik,09/11/2010,,Tak,Używane,36999,PLN,2010,265 000 km,Diesel,Sedan,Tak,Tak,Tak,Szwecja,,Tak,,,,,,,,,,,,,487
88,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2003,293 430 km,1 998 cm3,Benzyna+LPG,150 KM,Manualna,Na przednie koła,,,Sedan,,2,5,Czarny,Metalik,07/03/2003,BSU13943,Tak,Używane,11600,PLN,2003,293 430 km,Benzyna+LPG,Sedan,,,,,,,,,,,,,,,,,,,488
89,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.9TiDS PF Vector,II (2003-2011),2007,322 000 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,,7 l/100km,Kombi,,5,5,Czarny,,26/03/2007,CBY41911,Tak,Używane,6500,PLN,2007,322 000 km,Diesel,Kombi,,Tak,,,,,,,,,,,,,,,,,489
90,Firmy,Osobowe,Tak,Tak,Saab,9-5,,,2011,204 457 km,1 998 cm3,Benzyna,220 KM,Automatyczna,,,,Sedan,,4,5,Czarny,,,WD1234K,Tak,Używane,39900,PLN,2011,204 457 km,Benzyna,Sedan,,,,Stany Zjednoczone,,Tak,,,,Tak,,,,,,,,,490
91,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2004,230 000 km,1 998 cm3,Benzyna,150 KM,Manualna,,,,Sedan,,4,5,Czarny,,21/06/2004,60pgsv,,Używane,12900,PLN,2004,230 000 km,Benzyna,Sedan,,Tak,Tak,,,,,,,,,,,,,,,,491
92,Firmy,Osobowe,Tak,,Saab,9-3,1.8t Linear,II (2003-2011),2005,170 000 km,1 998 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,8 l/100km,10 l/100km,Sedan,,4,5,Niebieski,Metalik,,,,Używane,4444,PLN,2005,170 000 km,Benzyna,Sedan,,,Tak,Niemcy,,,,9 l/100km,,,,,,,,,,,492
93,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2003,250 000 km,2 171 cm3,Diesel,120 KM,Manualna,,,"5,70 l/100km",Sedan,,4,5,Czarny,Metalik,,WRA51740,Tak,Używane,4399,PLN,2003,250 000 km,Diesel,Sedan,,,Tak,Francja,Tak,,,,,,,,,,,,,,493
94,Osoby prywatnej,Osobowe,Tak,,Saab,900,2.0 Turbo,,1989,220 000 km,1 985 cm3,Benzyna,155 KM,Manualna,Na przednie koła,,,Kabriolet,,2,4,Czerwony,,01/01/1989,,,Używane,55900,PLN,1989,220 000 km,Benzyna,Kabriolet,,Tak,Tak,Stany Zjednoczone,,,,,,,,,,,,,,,494
95,Firmy,Osobowe,Tak,,Saab,9-3,1.9 TTiD DPF Griffin Aero,II (2003-2011),2010,237 000 km,1 910 cm3,Diesel,180 KM,Automatyczna,Na przednie koła,,"7,70 l/100km",Sedan,,4,5,Czarny,Metalik,,,Tak,Używane,23900,PLN,2010,237 000 km,Diesel,Sedan,,Tak,Tak,Niemcy,,Tak,,,,,,,,,,,,,495
96,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.9TTiD PF Vector,II (2003-2011),2009,260 000 km,1 910 cm3,Diesel,180 KM,Manualna,Na przednie koła,,8 l/100km,Sedan,,5,5,Szary,,,,,Używane,22000,PLN,2009,260 000 km,Diesel,Sedan,,Tak,,,,,,,,,,,,,,,,,496
97,Firmy,Osobowe,Tak,,Saab,9-5,,,2005,305 300 km,1 985 cm3,Benzyna,150 KM,Manualna,Na przednie koła,,,Kombi,,5,5,Czarny,Metalik,19/04/2005,,Tak,Używane,6500,PLN,2005,305 300 km,Benzyna,Kombi,,,,,,,,,,Tak,,Tak,,48 PLN,,,,,497
98,Osoby prywatnej,Osobowe,Tak,,Saab,900,,,1994,329 000 km,1 985 cm3,Benzyna,130 KM,Automatyczna,,,,Coupe,,3,5,Złoty,,,,Tak,Używane,3999,PLN,1994,329 000 km,Benzyna,Coupe,,,,,,,,,,,,,,,,,,,498
99,Firmy,Osobowe,Tak,,Saab,9-3,S 2.0 LPT,I (1998-2002),2000,170 000 km,1 985 cm3,Benzyna,154 KM,Manualna,Na przednie koła,,13 l/100km,Coupe,,3,5,Czarny,Metalik,,,,Używane,19900,PLN,2000,170 000 km,Benzyna,Coupe,Tak,Tak,Tak,Niemcy,,Tak,,,,Tak,,,,,,,,,499
100,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2010,250 162 km,1 910 cm3,Diesel,180 KM,Manualna,,,,Kombi,,5,5,Czarny,Metalik,16/02/2010,DW9KE73,,Używane,10000,PLN,2010,250 162 km,Diesel,Kombi,,,,,,,Tak,,,,,,,,,,,,500
101,Osoby prywatnej,Osobowe,,Tak,Saab,96,,,1968,69 000 km,1 500 cm3,Benzyna,65 KM,Manualna,,,,Auta małe,,4,4,Czerwony,,01/07/1968,WLI 7C,,Używane,39000,PLN,1968,69 000 km,Benzyna,Auta małe,,,,,,,,,,,,,,,,,,,501
102,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,2.0T Vector,II (2003-2011),2007,181 633 km,1 998 cm3,Benzyna,175 KM,Manualna,Na przednie koła,6.0 l/100km,11 l/100km,Sedan,197 g/km,5,5,Czarny,Metalik,26/06/2007,ZS256KT,Tak,Używane,6500,PLN,2007,181 633 km,Benzyna,Sedan,,Tak,,,,,Tak,,,,,,,,,,,,502
103,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.8t Arc,II (2003-2011),2003,350 000 km,1 988 cm3,Benzyna+LPG,150 KM,Manualna,Na przednie koła,6.0 l/100km,11 l/100km,Sedan,,4,5,Szary,Metalik,19/09/2003,SPS 48048,Tak,Używane,13500,PLN,2003,350 000 km,Benzyna+LPG,Sedan,,Tak,,Szwecja,,,,,,,Tak,,,,,,,,503
104,Firmy,Osobowe,Tak,,Saab,9-3,1.8i Sport-Kombi Linear,II (2003-2011),2009,139 000 km,1 796 cm3,Benzyna,122 KM,Manualna,Na przednie koła,,"10,50 l/100km",Kombi,,5,5,Niebieski,Metalik,16/04/2009,,,Używane,26700,PLN,2009,139 000 km,Benzyna,Kombi,,,,Niemcy,,Tak,,,,,,,,,,,,,504
105,Firmy,Osobowe,Tak,Tak,Saab,9-5,2.0 TiD PF Linear,,2011,295 000 km,1 956 cm3,Diesel,160 KM,Automatyczna,Na przednie koła,7 l/100km,8 l/100km,Sedan,,4,5,Biały,Metalik,04/02/2022,DB0415K,Tak,Używane,29999,PLN,2011,295 000 km,Diesel,Sedan,,,Tak,Dania,Tak,Tak,,6 l/100km,,Tak,,,,,,,,,505
106,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,,,2003,220 000 km,1 998 cm3,Benzyna+LPG,150 KM,Manualna,Na przednie koła,,,Sedan,,2,5,Brązowy,Metalik,,,Tak,Używane,11999,PLN,2003,220 000 km,Benzyna+LPG,Sedan,,Tak,,,,,,,,,Tak,,,,,,,,506
107,Osoby prywatnej,Osobowe,Tak,,Saab,900,,,1989,180 000 km,1 985 cm3,Benzyna,185 KM,Automatyczna,,,,Kabriolet,,2,4,Czarny,,,,Tak,Używane,77000,PLN,1989,180 000 km,Benzyna,Kabriolet,,Tak,,Stany Zjednoczone,,,,,,,,,,,Tak,,,,507
108,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2006,256 000 km,1 910 cm3,Diesel,175 KM,Automatyczna,Na przednie koła,,,Kombi,,5,5,Czarny,Metalik,31/05/2006,WOT79634,Tak,Używane,13900,PLN,2006,256 000 km,Diesel,Kombi,,,,Niemcy,,,,,,,,,,,,,,,508
109,Osoby prywatnej,Osobowe,,,Saab,99,,,1974,74 000 km,1 700 cm3,Benzyna,100 KM,Manualna,,,,Auta małe,,2,,Inny kolor,,,,,Używane,14900,PLN,1974,74 000 km,Benzyna,Auta małe,,,,,,,,,,,,,,,,,,,509
110,Firmy,Osobowe,Tak,Tak,Saab,9-3,S 2.0 LPT,I (1998-2002),2001,176 000 km,1 985 cm3,Benzyna,150 KM,Manualna,Na przednie koła,6.0 l/100km,12 l/100km,Kabriolet,,3,4,Czarny,,03/05/2001,wskkr51,Tak,Używane,14900,PLN,2001,176 000 km,Benzyna,Kabriolet,,Tak,,,,Tak,,,,Tak,,,,,,,,,510
111,Firmy,Osobowe,Tak,Tak,Saab,9-3,2.0 LPT Base,I (1998-2002),2001,329 000 km,1 985 cm3,Benzyna,150 KM,Manualna,Na przednie koła,,12 l/100km,Auta miejskie,,5,5,Szary,Metalik,01/02/2001,nel55093,Tak,Używane,3300,PLN,2001,329 000 km,Benzyna,Auta miejskie,,,,Polska,,Tak,,,,,,,,,,,,,511
112,Osoby prywatnej,Osobowe,Tak,,Saab,9-3X,,,2011,90 700 km,1 998 cm3,Benzyna,210 KM,Automatyczna,4x4 (dołączany automatycznie),,,Kombi,,5,5,Biały,,27/06/2011,,,Używane,33500,PLN,2011,90 700 km,Benzyna,Kombi,,,,Francja,,,Tak,,,,,,,,,,,,512
113,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-5,,,2003,270 000 km,2 171 cm3,Diesel,120 KM,Manualna,Na przednie koła,,,Kombi,,5,5,Niebieski,Metalik,18/07/2003,GDA52234,Tak,Używane,3500,PLN,2003,270 000 km,Diesel,Kombi,,,,,,,,,,,,,,,,270 000 km,,,513
114,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.8t Linear,II (2003-2011),2007,180 000 km,1 998 cm3,Benzyna,150 KM,Manualna,,,10 l/100km,Sedan,,4,5,Błękitny,Metalik,04/12/2007,,Tak,Używane,20000,PLN,2007,180 000 km,Benzyna,Sedan,,Tak,,Szwecja,,,,,,,Tak,,,,,,,,514
115,Firmy,Osobowe,Tak,,Saab,9-5,2.0TiD Vector,,2010,267 000 km,1 956 cm3,Diesel,160 KM,Manualna,Na przednie koła,6.8 l/100km,"6,90 l/100km",Sedan,127 g/km,4,5,Czarny,Perłowy,,,,Używane,36900,PLN,2010,267 000 km,Diesel,Sedan,Tak,Tak,Tak,Francja,Tak,Tak,,,,Tak,,,1 miesięcy,,,,,,515
116,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2007,236 000 km,1 910 cm3,Diesel,120 KM,Manualna,,,,Sedan,,5,,Czarny,,,,,Używane,12500,PLN,2007,236 000 km,Diesel,Sedan,,,,,,,,,ZGL00309003800000,,,,,,,,,,516
117,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2010,234 958 km,1 910 cm3,Diesel,180 KM,Automatyczna,Na przednie koła,,,Sedan,,5,5,Czarny,,03/08/2010,WN 9824J,Tak,Używane,24000,PLN,2010,234 958 km,Diesel,Sedan,,Tak,Tak,,,,,,,,,,,,,,,,517
118,Firmy,Osobowe,Tak,,Saab,9-3,2.0T Aero XWD,II (2003-2011),2011,287 000 km,1 998 cm3,Benzyna,210 KM,Manualna,4x4 (dołączany ręcznie),,11 l/100km,Sedan,,4,5,Srebrny,Metalik,22/07/2011,,Tak,Używane,27900,PLN,2011,287 000 km,Benzyna,Sedan,,,,Polska,,Tak,,,,,,,,,,,,,518
119,Firmy,Osobowe,Tak,Tak,Saab,900,2.3 S,,1997,236 000 km,2 290 cm3,Benzyna,150 KM,Manualna,Na przednie koła,,,Kompakt,,5,5,Srebrny,Metalik,03/11/1997,WZ 46383,Tak,Używane,6900,PLN,1997,236 000 km,Benzyna,Kompakt,,Tak,,,,Tak,,,,,,,,,,,,,519
120,Firmy,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2005,187 000 km,1 998 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,,"12,30 l/100km",Sedan,,4,5,Srebrny,Metalik,23/06/2005,SG446763,,Używane,14900,PLN,2005,187 000 km,Benzyna,Sedan,Tak,Tak,,Szwajcaria,,,,,,Tak,,,,,,,Tak,,520
121,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.9TiDS PF Vector,II (2003-2011),2007,311 000 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,4.0 l/100km,7 l/100km,Kombi,159 g/km,5,5,Czarny,Perłowy,,,,Używane,12999,PLN,2007,311 000 km,Diesel,Kombi,,Tak,Tak,Belgia,,,,,,,,,,,,,,,521
122,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.9 Cabriolet TiD DPF Vector,II (2003-2011),2007,208 031 km,1 910 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,5.4 l/100km,"9,30 l/100km",Kabriolet,189 g/km,2,4,Granatowy,Metalik,28/01/2008,PZ547SE,,Używane,29900,PLN,2007,208 031 km,Diesel,Kabriolet,,,,,Tak,,,,,,,,,,,,,,522
123,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,,I (1998-2002),2002,259 000 km,1 985 cm3,Benzyna,185 KM,Automatyczna,,,14 l/100km,Kabriolet,,3,5,Czarny,Perłowy,,,,Używane,16555,PLN,2002,259 000 km,Benzyna,Kabriolet,,,,,,,,,,,,,,,,,,,523
124,Firmy,Osobowe,Tak,,Saab,9-5,Kombi 1.9 TiDPF Linear Sport,,2009,209 666 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,5.0 l/100km,9 l/100km,Kombi,184 g/km,5,5,Czarny,Metalik,,,Tak,Używane,16999,PLN,2009,209 666 km,Diesel,Kombi,,,,Niemcy,Tak,Tak,,,,Tak,,Tak,,,,,,,524
125,Osoby prywatnej,Osobowe,Tak,,Saab,9-5,2.0 TTiD PF Vector,,2012,212 000 km,1 956 cm3,Diesel,190 KM,Manualna,Na przednie koła,5.0 l/100km,8 l/100km,Sedan,176 g/km,4,5,Czarny,Perłowy,,,,Używane,24999,PLN,2012,212 000 km,Diesel,Sedan,,,,Luksemburg,,,Tak,,,,,,,,,,,,525
126,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,1.9 TiD Sport Kombi DPF Vector,II (2003-2011),2010,228 614 km,1 910 cm3,Diesel,150 KM,Manualna,,,"7,80 l/100km",Kombi,,5,,Srebrny,,,,,Używane,15999,PLN,2010,228 614 km,Diesel,Kombi,,,,,,Tak,,,,Tak,,,,,,,,,526
127,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,2.0T Aero,II (2003-2011),2003,234 662 km,1 998 cm3,Benzyna+LPG,210 KM,Manualna,Na przednie koła,6.0 l/100km,11 l/100km,Sedan,194 g/km,4,5,Czarny,Metalik,25/03/2003,KNT25879,Tak,Używane,13900,PLN,2003,234 662 km,Benzyna+LPG,Sedan,,Tak,,Włochy,,,,,,,,,,,,,,,527
128,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2007,197 000 km,1 998 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,7.6 l/100km,"13,40 l/100km",Kabriolet,233 g/km,2,4,Beżowy,,28/11/2007,,,Używane,18700,PLN,2007,197 000 km,Benzyna,Kabriolet,,,,Niemcy,,,,,,,,,,,,,,,528
129,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.9TiDS PF Vector,II (2003-2011),2009,217 083 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,,7 l/100km,Kombi,,5,5,Czarny,,05/10/2009,KNT85xxx,Tak,Używane,19900,PLN,2009,217 083 km,Diesel,Kombi,,,,Francja,Tak,,,,,,,,,,,,,,529
130,Osoby prywatnej,Osobowe,Tak,,Saab,9-3,,II (2003-2011),2004,235 000 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,,,Sedan,,4,5,Granatowy,Metalik,,,Tak,Używane,13200,PLN,2004,235 000 km,Diesel,Sedan,,,,,,,,,,,,,,,,,,,530
131,Osoby prywatnej,Osobowe,Tak,,Saab,900,900i 2.0 Beverly,,1988,200 000 km,1 985 cm3,Benzyna,118 KM,Manualna,Na przednie koła,,,Coupe,,5,5,Zielony,,29/08/1988,,,Używane,7500,PLN,1988,200 000 km,Benzyna,Coupe,,Tak,,Niemcy,,,,,,,,,,,,,,,531
132,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,,II (2003-2011),2009,185 580 km,1 998 cm3,Benzyna+LPG,175 KM,Automatyczna,Na przednie koła,6.7 l/100km,"12,90 l/100km",Sedan,216 g/km,4,5,Zielony,Metalik,01/01/2003,NEL48240,,Używane,12600,PLN,2009,185 580 km,Benzyna+LPG,Sedan,,,,,,,,,,,,,,,,,,,532
133,Osoby prywatnej,Osobowe,Tak,Tak,Saab,9-3,1.9TiDS Linear,II (2003-2011),2007,160 000 km,1 910 cm3,Diesel,150 KM,Manualna,Na przednie koła,4.0 l/100km,7 l/100km,Sedan,,4,5,Czarny,Metalik,25/02/2008,GD4406R,Tak,Używane,18000,PLN,2007,160 000 km,Diesel,Sedan,,Tak,,Polska,Tak,,,,,,,,,,,,,,533
